
image no,detector,descriptor,TTC by Lidar,TTC by camera
3,ORB,BRISK,14.091,15.7403
4,ORB,BRISK,16.6894,43.2558
5,ORB,BRISK,15.9082,558.789
6,ORB,BRISK,12.6787,10.8379
7,ORB,BRISK,11.9844,117.685
8,ORB,BRISK,13.1241,11.0913
9,ORB,BRISK,13.0241,-inf
10,ORB,BRISK,11.1746,21.187
11,ORB,BRISK,12.8086,8.29125
12,ORB,BRISK,8.95978,-inf
13,ORB,BRISK,9.96439,7.71469
14,ORB,BRISK,9.59863,54.1773
15,ORB,BRISK,8.57352,11.4778
16,ORB,BRISK,9.51617,-inf
17,ORB,BRISK,9.54658,14.4347
18,ORB,BRISK,8.3988,28.0396

image no,detector,descriptor,TTC by Lidar,TTC by camera
1,ORB,BRIEF,12.5156,20.6602
2,ORB,BRIEF,12.6142,-inf
3,ORB,BRIEF,14.091,105.121
4,ORB,BRIEF,16.6894,12.3509
5,ORB,BRIEF,15.9082,20.2303
6,ORB,BRIEF,12.6787,-72.7877
7,ORB,BRIEF,11.9844,-inf
8,ORB,BRIEF,13.1241,33.4266
9,ORB,BRIEF,13.0241,-inf
10,ORB,BRIEF,11.1746,25.1256
11,ORB,BRIEF,12.8086,18.7216
12,ORB,BRIEF,8.95978,22.5603
13,ORB,BRIEF,9.96439,18.2207
14,ORB,BRIEF,9.59863,10.9178
15,ORB,BRIEF,8.57352,17.3561
16,ORB,BRIEF,9.51617,11.5532
17,ORB,BRIEF,9.54658,15.0441
18,ORB,BRIEF,8.3988,19.7379

image no,detector,descriptor,TTC by Lidar,TTC by camera
1,ORB,ORB,12.5156,25.6692
2,ORB,ORB,12.6142,10.0262
3,ORB,ORB,14.091,14.9194
4,ORB,ORB,16.6894,28.1023
5,ORB,ORB,15.9082,53.3347
6,ORB,ORB,12.6787,18.4549
7,ORB,ORB,11.9844,-inf
8,ORB,ORB,13.1241,27.2714
9,ORB,ORB,13.0241,-inf
10,ORB,ORB,11.1746,-inf
11,ORB,ORB,12.8086,8.28796
12,ORB,ORB,8.95978,-inf
13,ORB,ORB,9.96439,-inf
14,ORB,ORB,9.59863,-inf
15,ORB,ORB,8.57352,26.5737
16,ORB,ORB,9.51617,17.3088
17,ORB,ORB,9.54658,16.6667
18,ORB,ORB,8.3988,55.548

image no,detector,descriptor,TTC by Lidar,TTC by camera
1,AKAZE,BRISK,12.5156,12.8422
2,AKAZE,BRISK,12.6142,15.7048
3,AKAZE,BRISK,14.091,13.3659
4,AKAZE,BRISK,16.6894,14.5085
5,AKAZE,BRISK,15.9082,14.8462
6,AKAZE,BRISK,12.6787,14.7084
7,AKAZE,BRISK,11.9844,15.8833
8,AKAZE,BRISK,13.1241,13.9229
9,AKAZE,BRISK,13.0241,13.8216
10,AKAZE,BRISK,11.1746,11.878
11,AKAZE,BRISK,12.8086,12.3576
12,AKAZE,BRISK,8.95978,11.0717
13,AKAZE,BRISK,9.96439,10.0855
14,AKAZE,BRISK,9.59863,11.5788
15,AKAZE,BRISK,8.57352,12.0581
16,AKAZE,BRISK,9.51617,11.0103
17,AKAZE,BRISK,9.54658,9.63043
18,AKAZE,BRISK,8.3988,8.92524

image no,detector,descriptor,TTC by Lidar,TTC by camera
1,AKAZE,BRIEF,12.5156,14.3616
2,AKAZE,BRIEF,12.6142,15.0455
3,AKAZE,BRIEF,14.091,14.3897
4,AKAZE,BRIEF,16.6894,13.8482
5,AKAZE,BRIEF,15.9082,15.0233
6,AKAZE,BRIEF,12.6787,15.23
7,AKAZE,BRIEF,11.9844,16.572
8,AKAZE,BRIEF,13.1241,14.1117
9,AKAZE,BRIEF,13.0241,16.7194
10,AKAZE,BRIEF,11.1746,11.5704
11,AKAZE,BRIEF,12.8086,13.0825
12,AKAZE,BRIEF,8.95978,12.6206
13,AKAZE,BRIEF,9.96439,10.0979
14,AKAZE,BRIEF,9.59863,11.3139
15,AKAZE,BRIEF,8.57352,11.3301
16,AKAZE,BRIEF,9.51617,10.1205
17,AKAZE,BRIEF,9.54658,9.85292
18,AKAZE,BRIEF,8.3988,9.7794

image no,detector,descriptor,TTC by Lidar,TTC by camera
1,AKAZE,ORB,12.5156,13.4857
2,AKAZE,ORB,12.6142,16.0425
3,AKAZE,ORB,14.091,13.1423
4,AKAZE,ORB,16.6894,14.5519
5,AKAZE,ORB,15.9082,15.5177
6,AKAZE,ORB,12.6787,15.7673
7,AKAZE,ORB,11.9844,16.3476
8,AKAZE,ORB,13.1241,15.6237
9,AKAZE,ORB,13.0241,13.3053
